created_date,author,type,media,version,articleId,revenue>spend,Headline,Media link,campaign_name
2024-02-20,Andrii,Alt,IMG,v1,405047,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,405047 Alt v1 Andrii IMG
2024-02-20,Vasyl,Alt,IMG,v1,413122,True,"Older Man Is Fired 2 Hours after Taking Store Job, Receives $70K for Wife’s Treatment Next Day",image,413122 Alt v1 Vasyl IMG
2024-02-20,Dima,Alt,IMG,v1,411954,False,"Boy Finds Old Tube in Late Granny's Attic, History Teacher Opens It and Gasps – Story of the Day",image,411954 Alt v1 Dima IMG
2024-02-20,Yuliia,Alt,VID,v1,416170,True,Ordinary Pizza Box Helped Me Catch My Husband Cheating,video,416170 Alt v1 Yuliia VID
2024-02-20,Vasyl,Alt,GIF,v4,405305,True,Wife Loses Her Temper and Follows Husband Who Keeps Disappearing into Garage All Day,GIF,405305 Alt v4 Vasyl GIF
2024-02-20,Artem,Alt,GIF,v3,300646,True,"16-Year-Old Boy Creates In-Flight Drama, Publicly Humiliating the Flight Attendant",GIF,300646 Alt v3 Artem GIF
2024-02-20,Yuliia,Alt,IMG,v1,417502,False,I Saw My Husband Kissing Another Woman on Tv During a Baseball Game,image,417502 Alt v1 Yuliia IMG
2024-02-20,Andrii,Alt,IMG,v2,405227,False,"Father Destroys Son's Dream to Become a Dancer, Gets Sudden Call from Hospital Later",image,405227 Alt v2 Andrii IMG
2024-02-20,Vasyl,Alt,IMG,v4,404730,False,Kid Screams Every Time He Sees Old Family Photo until Mom Looks at It Closer,image,404730 Alt v4 Vasyl IMG
2024-02-19,Yuliia,Original,VID,v3,413802,True,"Wife Believes Husband is at Work, Unexpectedly Sees Him Entering Unknown Car and Exiting Town",video,413802 Original v3 Yuliia VID
2024-02-19,Artem,Original,IMG,v1,411064,True,"Single Dad Kindly Mows Elderly Neighbor's Lawn, Receives Mysterious Antique Box as Thanks",image,411064 Original v1 Artem IMG
2024-02-19,Dima,Alt,VID,v2,414903,True,"Young Pool Cleaner Finds Secret Door in Old Lady's Pool, He Doesn't Need to Work Anymore – Story of the Day",video,414903 Alt v2 Dima VID
2024-02-19,Vasyl,Alt,IMG,v2,414880,True,"Man Finds 3 Kids in His Basement, Learns They Secretly Live There Alone for a Year – Story of the Day",image,414880 Alt v2 Vasyl IMG
2024-02-19,Artem,Alt,VID,v2,411482,True,"Girl Rescues Old Lady From Her Son's Cruel Plan, Learns She's Her Boyfriend's Mom the Next Day",video,411482 Alt v2 Artem VID
2024-02-19,Yuliia,Original,IMG,v3,414164,True,Boy Blows Candles on B-Day Cake and Suddenly Falls to the Floor Unconscious – Story of the Day,image,414164 Original v3 Yuliia IMG
2024-02-19,Vasyl,Alt,VID,v2,414954,True,"Mom Notices Her Adopted Son Does Not Leave the Room, Goes in and Sees Another Baby in His Arms",video,414954 Alt v2 Vasyl VID
2024-02-19,Yuliia,Original,GIF,v1,414937,True,"Wife Notices Her Husband is Acting Suspiciously, Calls a Taxi to Secretly Follow Him",GIF,414937 Original v1 Yuliia GIF
2024-02-19,Andrii,Original,GIF,v3,414988,True,"Wealthy Man Watches News, Spots a Beggar Who Resembles His Long-Lost Wife",GIF,414988 Original v3 Andrii GIF
2024-02-18,Yuliia,Original,IMG,v4,414849,True,"Little Boy Finds Abandoned Stroller with Newborn Baby in Park, Years Later They Meet Again – Story of the Day",image,414849 Original v4 Yuliia IMG
2024-02-18,Vasyl,Alt,VID,v2,415109,False,"Woman Returns Home and Gags from Stench, Finds Uninvited Guest in Her Bedroom – Story of the Day",video,415109 Alt v2 Vasyl VID
2024-02-18,Vasyl,Alt,GIF,v2,415109,False,"Woman Comes Back Home From Work, Finds Homeless Man In Her Bed – Story of the Day",GIF,415109 Alt v2 Vasyl GIF
2024-02-18,Dima,Original,GIF,v2,414955,False,"Wife Returns from Husband's Funeral, Stunned to Find an Unknown Child Asleep in Her Car",GIF,414955 Original v2 Dima GIF
2024-02-18,Vasyl,Alt,VID,v1,415139,True,"Girl Watches TV Report on a Plane Crash's Lone Survivor, Shocked to See Her Own Face There – Story of the Day",video,415139 Alt v1 Vasyl VID
2024-02-18,Andrii,Original,VID,v2,415097,True,"Excited to Meet Son's New Girlfriend, Mother is Stunned When He Arrives With an Elderly Woman",video,415097 Original v2 Andrii VID
2024-02-18,Dima,Original,GIF,v1,414579,True,Military Man Is Kicked Out of Sister’s Wedding When He Arrives to Surprise Her – Story of the Day,GIF,414579 Original v1 Dima GIF
2024-02-18,Yuliia,Original,VID,v1,415069,True,"Lady Driver Caught Her Boss Cheating, Teaming up with His Wife They Take Revenge – Story of the Day",video,415069 Original v1 Yuliia VID
2024-02-18,Yuliia,Original,GIF,v4,410622,False,Woman Asks Stranger in the Park to Watch Her Twins for a Moment and Never Returns,GIF,410622 Original v4 Yuliia GIF
2024-02-17,Andrii,Original,IMG,v4,415065,False,"Rich Dad Makes Spoiled Son Wait Tables, Surprised by Unusual Request Days Later",image,415065 Original v4 Andrii IMG
2024-02-17,Dima,Original,GIF,v3,415100,True,Angry Husband Hunts for His Wife in Hospital – Story of the Day,GIF,415100 Original v3 Dima GIF
2024-02-17,Vasyl,Alt,GIF,v2,415396,True,Boy Falls into Dry Well and Finds Grandpa's Secret Bunker on the Bottom – Story of the Day,GIF,415396 Alt v2 Vasyl GIF
2024-02-17,Vasyl,Original,GIF,v1,415119,True,"Poor Housekeeper Wrongly Accused by Family, Turns Tables to Unmask True Thief",GIF,415119 Original v1 Vasyl GIF
